matricula,marca,modelo,color,precio,fechaMatriculacion,vendido,createdAt,updatedAt
ABC123,Ford,Fiesta,Azul,10000,2021-01-15,false,2024-09-02T18:37:45,2024-09-02T18:37:45
DEF456,Chevrolet,Cruze,Blanco,15000,2020-06-20,false,2024-09-02T18:37:45,2024-09-02T18:37:45
GHI789,Toyota,Corolla,Plata,20000,2019-03-10,false,2024-09-02T18:37:45,2024-09-02T18:37:45
JKL012,Honda,Civic,Negro,18000,2022-11-05,false,2024-09-02T18:37:45,2024-09-02T18:37:45
MNO345,Hyundai,Elantra,Rojo,17000,2023-07-12,false,2024-09-02T18:37:45,2024-09-02T18:37:45
PQR678,Toyota,Yaris,Amarillo,12000,2018-09-30,false,2024-09-02T18:37:45,2024-09-02T18:37:45
STU901,Ford,Focus,Verde,14000,2021-12-25,false,2024-09-02T18:37:45,2024-09-02T18:37:45
VWX234,Chevrolet,Spark,Azul,9000,2022-03-01,false,2024-09-02T18:37:45,2024-09-02T18:37:45
YZA567,Hyundai,Sonata,Gris,22000,2023-08-18,false,2024-09-02T18:37:45,2024-09-02T18:37:45
BCD890,Honda,Accord,Negro,25000,2022-10-10,false,2024-09-02T18:37:45,2024-09-02T18:37:45
EFG123,Toyota,RAV4,Blanco,28000,2020-02-15,false,2024-09-02T18:37:45,2024-09-02T18:37:45
HIJ456,Ford,Explorer,Plata,35000,2019-08-20,false,2024-09-02T18:37:45,2024-09-02T18:37:45
KLM789,Chevrolet,Traverse,Azul,40000,2021-05-05,false,2024-09-02T18:37:45,2024-09-02T18:37:45
NOP012,Hyundai,Santa Fe,Rojo,32000,2018-12-10,false,2024-09-02T18:37:45,2024-09-02T18:37:45
QRS345,Honda,Pilot,Verde,38000,2023-02-25,false,2024-09-02T18:37:45,2024-09-02T18:37:45
TUV678,Toyota,Highlander,Amarillo,42000,2017-12-30,false,2024-09-02T18:37:45,2024-09-02T18:37:45
WXY901,Ford,Escape,Gris,30000,2023-09-15,false,2024-09-02T18:37:45,2024-09-02T18:37:45
ZAB234,Chevrolet,Equinox,Negro,34000,2022-04-20,false,2024-09-02T18:37:45,2024-09-02T18:37:45
CDE567,Hyundai,Tucson,Blanco,26000,2021-11-05,false,2024-09-02T18:37:45,2024-09-02T18:37:45
FGH890,Honda,CR-V,Plata,30000,2020-07-12,false,2024-09-02T18:37:45,2024-09-02T18:37:45
