matricula;marca;modelo;color;precio;fechaMatriculacion;vendido;createdAt;updatedAt
ABC123;Ford;Fiesta;Azul;10.000,00 €;2021-01-15;Si;2024-09-02T18:37:45;2024-09-02T18:37:45
DEF456;Chevrolet;Cruze;Blanco;15.000,00 €;2020-06-20;No;2024-09-02T18:37:45;2024-09-02T18:37:45
GHI789;Toyota;Corolla;Plata;20.000,00 €;2019-03-10;No;2024-09-02T18:37:45;2024-09-02T18:37:45
JKL012;Honda;Civic;Negro;18.000,00 €;2022-11-05;No;2024-09-02T18:37:45;2024-09-02T18:37:45
MNO345;Hyundai;Elantra;Rojo;17.000,00 €;2023-07-12;No;2024-09-02T18:37:45;2024-09-02T18:37:45
PQR678;Toyota;Yaris;Amarillo;12.000,00 €;2018-09-30;No;2024-09-02T18:37:45;2024-09-02T18:37:45
STU901;Ford;Focus;Verde;14.000,00 €;2021-12-25;No;2024-09-02T18:37:45;2024-09-02T18:37:45
VWX234;Chevrolet;Spark;Azul;9.000,00 €;2022-03-01;No;2024-09-02T18:37:45;2024-09-02T18:37:45
YZA567;Hyundai;Sonata;Gris;22.000,00 €;2023-08-18;No;2024-09-02T18:37:45;2024-09-02T18:37:45
BCD890;Honda;Accord;Negro;25.000,00 €;2022-10-10;No;2024-09-02T18:37:45;2024-09-02T18:37:45
EFG123;Toyota;RAV4;Blanco;28.000,00 €;2020-02-15;No;2024-09-02T18:37:45;2024-09-02T18:37:45
HIJ456;Ford;Explorer;Plata;35.000,00 €;2019-08-20;No;2024-09-02T18:37:45;2024-09-02T18:37:45
KLM789;Chevrolet;Traverse;Azul;40.000,00 €;2021-05-05;No;2024-09-02T18:37:45;2024-09-02T18:37:45
NOP012;Hyundai;Santa Fe;Rojo;32.000,00 €;2018-12-10;No;2024-09-02T18:37:45;2024-09-02T18:37:45
QRS345;Honda;Pilot;Verde;38.000,00 €;2023-02-25;No;2024-09-02T18:37:45;2024-09-02T18:37:45
TUV678;Toyota;Highlander;Amarillo;42.000,00 €;2017-12-30;No;2024-09-02T18:37:45;2024-09-02T18:37:45
WXY901;Ford;Escape;Gris;30.000,00 €;2023-09-15;No;2024-09-02T18:37:45;2024-09-02T18:37:45
ZAB234;Chevrolet;Equinox;Negro;34.000,00 €;2022-04-20;No;2024-09-02T18:37:45;2024-09-02T18:37:45
CDE567;Hyundai;Tucson;Blanco;26.000,00 €;2021-11-05;No;2024-09-02T18:37:45;2024-09-02T18:37:45
FGH890;Honda;CR-V;Plata;30.000,00 €;2020-07-12;Si;2024-09-02T18:37:45;2024-09-02T18:37:45
